property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
Flat,sector 48,3.0,4.0,2,Relatively New,3051.0,0,0,0,Medium,mid,1.78
Flat,sector 104,2.0,2.0,No,Relatively New,1259.0,0,0,0,Low,high,0.9
Flat,sector 113,3.0,3.0,3+,New Property,1980.0,1,0,0,Medium,mid,2.48
Flat,sector 85,2.0,2.0,3+,Relatively New,2981.0,0,1,0,Medium,mid,1.3
Flat,sector 104,2.0,2.0,2,Relatively New,1402.0,0,0,0,Medium,mid,1.32
Flat,sector 85,4.0,5.0,3+,Relatively New,4731.0,1,0,0,High,mid,2.15
Flat,sector 89,2.0,2.0,2,Moderately Old,1031.0,0,0,0,Low,mid,0.75
House,sector 2,6.0,5.0,3+,Relatively New,2430.0,1,0,0,Medium,lower,4.95
Flat,sector 76,3.0,3.0,3,New Property,1773.0,1,0,0,Medium,lower,1.08
Flat,sector 104,4.0,4.0,3+,Relatively New,5017.0,1,0,0,High,high,2.55
Flat,sector 56,3.0,4.0,3+,Old Property,2200.0,0,0,2,High,mid,2.1
Flat,sector 22,2.0,2.0,2,New Property,1285.0,1,0,0,Low,mid,1.99
Flat,sector 90,2.0,2.0,3,Relatively New,1221.0,0,0,0,High,mid,0.65
House,sector 45,5.0,8.0,3+,Relatively New,4500.0,1,1,1,High,lower,17.0
Flat,sohna road,2.0,2.0,2,New Property,521.0,0,0,0,Low,mid,0.27
Flat,sector 71,1.0,1.0,No,New Property,683.0,0,0,0,Medium,mid,0.9
House,sector 26,3.0,3.0,2,Old Property,1350.0,0,0,2,Medium,lower,4.5
Flat,sector 110,5.0,5.0,3,Relatively New,3465.0,1,0,0,Medium,lower,3.79
Flat,sector 86,3.0,4.0,3+,Relatively New,1580.0,0,1,0,High,high,1.56
Flat,sector 70,2.0,2.0,2,New Property,2052.0,0,0,0,Low,lower,1.1
House,sector 28,4.0,2.0,2,Relatively New,1458.0,0,0,0,Low,lower,2.58
Flat,sector 70,4.0,4.0,3+,Moderately Old,2667.0,1,0,0,Medium,mid,2.35
House,sector 26,7.0,9.0,3+,Relatively New,11111.0,1,1,2,Medium,lower,18.25
Flat,sector 69,3.0,3.0,2,Relatively New,1428.0,0,0,2,High,mid,1.55
House,sector 46,5.0,4.0,3+,Moderately Old,1449.0,1,0,2,Medium,lower,3.55
Flat,sector 107,2.0,2.0,3+,New Property,1236.0,0,0,0,Medium,mid,0.9
Flat,sector 79,3.0,4.0,3+,Relatively New,2629.0,1,0,2,High,lower,2.0
House,sector 12,1.0,1.0,1,Old Property,1800.0,1,0,0,Low,lower,1.7
House,sector 46,8.0,6.0,3+,Moderately Old,2367.0,1,0,2,Medium,lower,5.65
Flat,sector 91,3.0,3.0,3+,Relatively New,2578.0,0,0,1,Low,lower,1.8
Flat,sector 74,2.0,2.0,3,New Property,1280.0,0,0,2,Low,high,1.47
Flat,sector 113,3.0,4.0,3+,Relatively New,1940.0,1,0,0,Low,mid,2.4
House,sector 17a,2.0,2.0,1,Old Property,105.0,0,0,0,Low,lower,1.52
Flat,sector 48,3.0,3.0,No,Relatively New,1923.0,1,0,0,Medium,high,2.0
Flat,sector 59,3.0,3.0,1,Under Construction,2550.0,0,0,0,Low,lower,4.02
Flat,sector 111,3.0,4.0,2,Relatively New,2200.0,1,0,0,Medium,mid,2.58
Flat,sector 61,3.0,3.0,2,Under Construction,1778.0,0,0,0,Low,lower,2.2
Flat,sector 104,2.0,2.0,3,Relatively New,1148.0,0,0,0,Medium,mid,0.75
House,sector 4,4.0,4.0,3,Old Property,160.0,0,0,2,Low,lower,2.3
Flat,sector 71,1.0,1.0,2,Relatively New,450.0,0,0,0,Medium,lower,0.37
Flat,sector 65,4.0,4.0,3,Relatively New,1975.0,1,0,2,Medium,lower,2.75
Flat,sector 92,3.0,2.0,2,New Property,1174.0,0,0,0,Low,high,0.79
Flat,sector 72,4.0,5.0,3+,Relatively New,2625.0,1,0,0,Low,mid,3.5
House,sector 57,3.0,3.0,3,Moderately Old,1650.0,0,1,2,Medium,lower,4.75
House,sector 56,4.0,4.0,3+,Relatively New,1503.0,0,0,2,Low,lower,4.0
Flat,sector 82,3.0,4.0,3+,Under Construction,1773.0,0,0,0,Medium,mid,1.25
Flat,sector 102,2.0,2.0,2,Relatively New,915.0,0,0,0,Low,mid,0.95
House,sector 24,8.0,5.0,3+,Old Property,540.0,0,0,0,Low,lower,1.6
Flat,sector 102,3.0,4.0,3+,Relatively New,1757.0,1,0,2,Medium,mid,1.75
Flat,sector 82,2.0,2.0,3+,Relatively New,1298.0,0,0,2,Medium,mid,0.94
Flat,sector 90,3.0,3.0,3,Relatively New,1650.0,0,0,2,Low,mid,1.25
House,sector 49,3.0,3.0,1,Old Property,1701.0,0,0,2,Low,lower,3.75
Flat,sector 99,3.0,4.0,No,New Property,2400.0,0,0,0,Medium,high,1.6
Flat,sector 69,2.0,2.0,2,Under Construction,991.0,0,0,0,Low,lower,0.75
Flat,sector 56,3.0,3.0,3+,Old Property,1900.0,1,0,0,High,mid,1.45
Flat,sector 22,3.0,3.0,3,Relatively New,1860.0,0,0,2,Medium,mid,2.55
Flat,manesar,3.0,3.0,2,Moderately Old,2556.0,0,0,0,Low,lower,0.85
Flat,sector 70a,4.0,4.0,3,Relatively New,1600.0,0,0,0,Low,lower,1.6
Flat,sector 106,4.0,6.0,3+,Relatively New,1535.0,1,0,0,High,mid,1.5
Flat,sector 108,2.0,2.0,2,Moderately Old,1362.0,0,0,0,Medium,mid,0.7
House,sector 109,4.0,5.0,3,Moderately Old,6228.0,0,0,0,Medium,lower,6.0
Flat,sector 67a,2.0,2.0,2,New Property,633.0,0,0,0,Low,mid,0.6
Flat,sector 77,4.0,4.0,3+,Relatively New,1800.0,1,0,1,Low,lower,1.55
Flat,sector 66,4.0,5.0,3+,Relatively New,2100.0,1,0,2,Low,mid,3.0
House,sector 25,9.0,9.0,3+,Relatively New,2300.0,1,0,2,High,lower,7.5
Flat,sector 85,2.0,2.0,1,Under Construction,97.0,0,0,0,Low,high,1.05
Flat,sector 70a,3.0,3.0,3+,Relatively New,3445.0,0,0,2,High,high,2.5
Flat,sector 37c,3.0,3.0,3,Relatively New,1737.0,0,0,2,Medium,mid,1.05
Flat,sector 110,3.0,4.0,3,Relatively New,1764.0,1,1,0,Medium,mid,1.65
Flat,sector 68,2.0,2.0,3,Relatively New,1130.0,0,0,2,Medium,lower,1.08
House,sector 50,5.0,6.0,No,Moderately Old,3240.0,0,0,0,Low,lower,11.5
Flat,sector 47,3.0,4.0,3+,Moderately Old,3831.0,1,0,0,Medium,mid,2.4
Flat,sector 61,3.0,4.0,3+,Under Construction,1174.0,1,0,0,High,high,3.9
Flat,sector 28,3.0,3.0,1,Old Property,1240.0,0,0,2,Medium,mid,2.0
Flat,sector 112,2.0,2.0,3,Relatively New,1939.0,0,0,2,High,mid,2.5
Flat,sector 89,3.0,3.0,2,Under Construction,1473.0,0,0,0,Medium,lower,1.13
Flat,sector 81,3.0,4.0,3+,New Property,1893.0,1,0,1,High,mid,2.3
Flat,sohna road,3.0,3.0,3+,Relatively New,3017.0,0,0,0,Low,mid,1.3
